"No.","Time","Time delta from previous captured frame","Reception Port","Source","Destination","CycleCounter","TransferStatus","Protocol","Length","Info"
"123","0.480260854","0.005287044","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","37376","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:37376 (Valid,Primary,Ok,Run)"
"125","0.488876740","0.003225580","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","37376","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:37376 (Valid,Primary,Ok,Run)"
"127","0.496261554","0.004731924","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","37888","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:37888 (Valid,Primary,Ok,Run)"
"129","0.503900280","0.002249450","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","37888","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:37888 (Valid,Primary,Ok,Run)"
"131","0.512262264","0.006232884","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","38400","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:38400 (Valid,Primary,Ok,Run)"
"132","0.517412400","0.005150136","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","38400","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:38400 (Valid,Primary,Ok,Run)"
"135","0.528262974","0.005669774","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","38912","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:38912 (Valid,Primary,Ok,Run)"
"137","0.533950000","0.000299830","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","38912","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:38912 (Valid,Primary,Ok,Run)"
"139","0.544263724","0.000655254","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","39424","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:39424 (Valid,Primary,Ok,Run)"
"140","0.548972340","0.004708616","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","39424","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:39424 (Valid,Primary,Ok,Run)"
"143","0.560264384","0.005107724","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","39936","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:39936 (Valid,Primary,Ok,Run)"
"144","0.565038010","0.004773626","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","39936","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:39936 (Valid,Primary,Ok,Run)"
"147","0.576265134","0.000049124","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","40448","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:40448 (Valid,Primary,Ok,Run)"
"149","0.582544680","0.000895510","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","40448","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:40448 (Valid,Primary,Ok,Run)"
"151","0.592265804","0.006080454","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","40960","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:40960 (Valid,Primary,Ok,Run)"
"152","0.597574940","0.005309136","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","40960","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:40960 (Valid,Primary,Ok,Run)"
"155","0.608266514","0.004535944","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","41472","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:41472 (Valid,Primary,Ok,Run)"
"156","0.613607800","0.005341286","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","41472","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:41472 (Valid,Primary,Ok,Run)"
"159","0.624267254","0.000479294","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","41984","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:41984 (Valid,Primary,Ok,Run)"
"161","0.630155160","0.000506980","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","41984","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:41984 (Valid,Primary,Ok,Run)"
"163","0.640267924","0.002970734","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","42496","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:42496 (Valid,Primary,Ok,Run)"
